ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,close_y,open_y,high_y,low_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y,ma,data_dif,data_dea,data_macd,kdj_k,kdj_d,kdj_j,bias,rsi,roc,psy,ave_change
000002.SZ,20180525,26.68,26.91,26.32,26.39,26.65,-0.26,-0.98,270005.46,717574.35,000001.SH,3141.3032,3148.41,3156.7261,3131.0675,3154.6506,-13.3474,-0.4231,128610843.0,166554049.9,27.208333333333297,-0.9912501869476742,-1.0178949946810705,0.05328961546679256,41.63384229928685,61.99505179846568,0.9114233009291866,-3.0076569678406018,16.356877323420115,-6.366047745358089,16.666666666666664,-0.5833333333333334
000002.SZ,20180528,26.39,26.82,26.3,26.5,26.39,0.11,0.42,254594.99,676789.912,000001.SH,3135.0821,3136.8092,3149.6646,3115.9585,3141.3032,-6.2211,-0.198,128755918.0,168191258.4,27.07749999999996,-0.9708090026291814,-1.0084777962706926,0.07533758728302242,40.576407686704016,54.85550376121179,12.018215537688462,-2.132767057519942,20.599250936329604,-5.4339622641509475,25.0,-0.3033333333333333
000002.SZ,20180529,26.3,26.37,25.34,25.6,26.5,-0.9,-3.4,556052.35,1428341.707,000001.SH,3120.4605,3129.6209999999996,3143.2076,3112.1531,3135.0821,-14.6216,-0.4664,135717800.0,177826106.4,26.882499999999965,-1.015525351067641,-1.0098873072300822,-0.011276087675117452,35.465177940003365,48.39206182080898,9.61141017839212,-4.770761647912081,15.988372093023271,-9.140625,25.0,0.13333333333333333
000002.SZ,20180530,25.21,25.21,24.58,24.64,25.6,-0.96,-3.75,540168.82,1342440.709,000001.SH,3041.4434,3081.1418,3085.397,3041.0002,3120.4605,-79.0171,-2.5322,155115126.0,191995196.7,26.607499999999963,-1.1155677853021295,-1.0310234028444918,-0.16908876491527547,26.818055134605526,41.20072625874116,-1.9472871136657517,-7.394531617025142,12.50000000000001,-12.621753246753244,25.0,0.8866666666666667
000002.SZ,20180531,24.77,25.68,24.56,25.59,24.64,0.95,3.86,705893.25,1768260.9019999998,000001.SH,3095.4737,3061.8291,3098.0764,3054.2685,3041.4434,54.0303,1.7765,140475532.0,185199037.0,26.427499999999963,-1.1054521108670166,-1.0459091444489967,-0.11908593283603963,70.69921624358305,51.03355625368846,110.03053622337222,-3.169047393813127,29.069767441860467,-6.408753419304418,33.33333333333333,0.6333333333333333
000002.SZ,20180601,25.39,26.46,25.3,26.0,25.59,0.41,1.6,520770.82,1355014.4540000001,000001.SH,3075.1372,3084.7536,3102.0879999999997,3059.7857,3095.4737,-20.3365,-0.657,129872199.0,166548881.8,26.32499999999996,-1.0522224273538434,-1.047171801029966,-0.010101252647754855,120.97896467520904,74.34869239419533,214.23950923723646,-1.2345679012344186,37.821782178217816,-3.038461538461535,41.66666666666667,0.33
000002.SZ,20180604,26.3,27.38,26.28,27.3,26.0,1.3,5.0,789190.77,2138820.837,000001.SH,3091.1909,3083.4265,3098.402,3076.9936,3075.1372,16.0537,0.522,114593902.0,154671613.3,26.36749999999996,-0.8948234168822253,-1.016702124200418,0.24375741463638523,221.16546362962617,123.28761613933894,416.9211586102007,3.536550677918049,54.314720812182756,0.5494505494505573,50.0,0.03000000000000001
000002.SZ,20180605,27.29,27.77,26.84,27.49,27.3,0.19,0.7,606841.37,1658473.532,000001.SH,3114.2055,3088.0076,3114.7687,3080.0457,3091.1909,23.0146,0.7445,118735592.0,164806307.5,26.395833333333297,-0.7461509908217536,-0.9625918975246851,0.43288181340586296,297.7000526761605,181.42509498494613,530.2499680585893,4.14522494080519,52.961672473867594,1.52782830120043,50.0,-0.26
000002.SZ,20180606,27.3,27.54,26.85,26.99,27.49,-0.5,-1.82,508162.53,1378427.3390000002,000001.SH,3115.1803,3109.1746,3117.5251,3103.5329,3114.2055,0.9748,0.0313,120196135.0,162879956.7,26.38916666666663,-0.6610526400242769,-0.9022840460246035,0.48246281200065333,323.0820863994912,228.64409212312782,511.95807495221794,2.2768181387565747,49.350649350649334,1.0003705075954041,50.0,0.10666666666666665
000002.SZ,20180607,27.07,27.64,26.95,27.39,26.99,0.4,1.48,597535.75,1637918.2959999999,000001.SH,3109.4988,3121.1842,3128.7154,3105.5779,3115.1803,-5.6815,-0.1824,127784970.0,167174304.1,26.444999999999965,-0.5549379476328049,-0.8328148263462437,0.5557537574268776,360.5162627278655,272.6014823247071,536.3458235341824,3.573454339194695,55.39452495974236,2.1540708287696235,58.333333333333336,0.10666666666666665
