ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20160928,2987.858,3000.695,3000.695,2984.321,2998.172,-10.314,-0.344,104625697.0,116437377.488
000001.SH,20160929,2998.483,2992.168,3009.198,2991.909,2987.858,10.625,0.3556,113213919.0,122728570.07
000001.SH,20160930,3004.703,2994.251,3009.195,2993.062,2998.483,6.22,0.2074,101333562.0,112794538.478
000001.SH,20161010,3048.143,3020.457,3048.236,3014.62,3004.703,43.44,1.4457,160051104.0,175521792.58
000001.SH,20161011,3065.25,3051.622,3066.104,3048.018,3048.143,17.107,0.5612,167273496.0,183787648.35
000001.SH,20161012,3058.498,3057.316,3060.514,3048.888,3065.25,-6.752,-0.2203,142493577.0,159982961.361
000001.SH,20161013,3061.346,3057.972,3064.999,3052.64,3058.498,2.848,0.0931,154756725.0,166335869.075
000001.SH,20161014,3063.809,3056.993,3064.79,3043.184,3061.346,2.463,0.0805,155373705.0,163792994.643
000001.SH,20161017,3041.166,3064.691,3068.812,3033.753,3063.809,-22.643,-0.739,163733265.0,180594077.051
000001.SH,20161018,3083.875,3037.404,3084.187,3037.404,3041.166,42.709,1.4044,182042460.0,196036127.966
000001.SH,20161019,3084.719,3085.749,3096.223,3076.771,3083.875,0.844,0.0274,182470143.0,197481136.362
000001.SH,20161020,3084.458,3084.908,3089.682,3076.295,3084.719,-0.261,-0.0085,160691364.0,177674542.71
000001.SH,20161021,3090.941,3081.389,3101.849,3069.267,3084.458,6.483,0.2102,187388072.0,201953662.395
000001.SH,20161024,3128.247,3092.047,3137.034,3090.786,3090.941,37.306,1.2069,240522349.0,250354393.568
000001.SH,20161025,3131.939,3127.968,3132.505,3121.05,3128.247,3.692,0.118,203380898.0,220861464.075
000001.SH,20161026,3116.312,3129.838,3129.838,3110.387,3131.939,-15.627,-0.499,191663263.0,215767706.369
000001.SH,20161027,3112.35,3112.603,3114.759,3100.392,3116.312,-3.962,-0.1271,158008789.0,182237125.269
000001.SH,20161028,3104.27,3111.704,3128.643,3101.237,3112.35,-8.08,-0.2596,181774123.0,212593009.855
000001.SH,20161031,3100.492,3097.188,3102.302,3081.072,3104.27,-3.778,-0.1217,151506764.0,178427745.444
000001.SH,20161101,3122.436,3101.664,3122.615,3097.042,3100.492,21.944,0.7078,160232032.0,195831592.265
000001.SH,20161102,3102.733,3115.729,3118.977,3099.82,3122.436,-19.703,-0.631,182722067.0,221676542.065
000001.SH,20161103,3128.936,3096.765,3140.93,3094.103,3102.733,26.203,0.8445,222986260.0,265820360.415
000001.SH,20161104,3125.317,3126.349,3141.334,3119.535,3128.936,-3.619,-0.1157,197683197.0,239043257.281
000001.SH,20161107,3133.333,3124.892,3139.202,3117.096,3125.317,8.016,0.2565,179418490.0,210602324.385
000001.SH,20161108,3147.888,3140.944,3156.881,3134.955,3133.333,14.555,0.4645,190846979.0,221585117.19
000001.SH,20161109,3128.37,3146.078,3146.95,3096.947,3147.888,-19.518,-0.62,241114958.0,277229392.735
000001.SH,20161110,3171.282,3148.544,3172.309,3148.544,3128.37,42.912,1.3717,244192602.0,285992810.523
000001.SH,20161111,3196.044,3169.401,3202.74,3166.07,3171.282,24.762,0.7808,310854579.0,343773951.274
000001.SH,20161114,3210.371,3187.709,3221.458,3186.796,3196.044,14.327,0.4483,329608313.0,346974628.517
000001.SH,20161115,3206.986,3209.955,3214.292,3195.035,3210.371,-3.385,-0.1054,240886350.0,267003870.859
000001.SH,20161116,3205.057,3208.497,3210.893,3195.411,3206.986,-1.929,-0.0601,221766993.0,244854511.188
000001.SH,20161117,3208.453,3198.499,3211.053,3187.206,3205.057,3.396,0.106,214206240.0,226775851.18
000001.SH,20161118,3192.856,3207.193,3212.394,3187.496,3208.453,-15.597,-0.4861,209826639.0,235352062.308
000001.SH,20161121,3218.148,3188.496,3229.757,3188.28,3192.856,25.292,0.7921,230652844.0,263177808.131
000001.SH,20161122,3248.352,3220.983,3249.677,3220.983,3218.148,30.204,0.9386,261631547.0,292484830.64
000001.SH,20161123,3241.137,3247.945,3262.879,3231.586,3248.352,-7.215,-0.2221,249959592.0,277942467.717
