ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
601318.SH,20171117,72.7,75.32,71.8,75.27,73.01,2.26,3.1,1580393.74,11680087.76,0.726666667,1.18485714,1,1
601318.SH,20171120,74.78,76.49,74.07,75.71,75.27,0.44,0.58,1141281.13,8583176.574,-0.463333333,0.355845722,-1,1
601318.SH,20171121,75.13,79.68,75.13,78.44,75.71,2.73,3.61,1445569.37,11268384.88,-1.273333333,-1.660375173,-1,-1
601318.SH,20171122,79.5,79.96,76.58,77.45,78.44,-0.99,-1.26,1293487.99,10124738.59,-1.3,-0.486014248,-1,-1
601318.SH,20171123,76.6,78.44,73.7,74.32,77.45,-3.13,-4.04,1576210.88,11946905.53,-0.53,-0.310495689,-1,-1
601318.SH,20171124,74.15,75.46,72.71,74.62,74.32,0.3,0.4,1317843.76,9752487.038,-0.733333333,-0.375427677,-1,-1
601318.SH,20171127,74.7,74.9,71.55,73.55,74.62,-1.07,-1.43,1637232.33,11979068.08,-1.21,-0.181731403,-1,0
601318.SH,20171128,72.7,73.54,71.88,72.73,73.55,-0.82,-1.11,786469.62,5710613.283,-1.543333333,-0.812214144,-1,-1
601318.SH,20171129,73.54,74.19,71.26,72.42,72.73,-0.31,-0.43,875004.64,6358820.396,-1.01,-0.821909146,-1,-1
601318.SH,20171130,71.37,71.67,69.55,69.92,72.42,-2.5,-3.45,1163733.17,8210562.529,0.426666667,-0.114956533,1,0
601318.SH,20171201,69.65,70.18,67.91,68.1,69.92,-1.82,-2.6,1393046.03,9600520.278,0.433333333,0.797127185,1,0
601318.SH,20171204,67.6,70.35,67.37,69.39,68.1,1.29,1.89,1159283.17,8019893.921,-0.25,-0.094268134,-1,0
601318.SH,20171205,68.9,71.5,68.78,71.2,69.39,1.81,2.61,1692539.53,11943537.97,0.096666667,-0.946418633,0,-1
601318.SH,20171206,70.9,71.1,68,69.4,71.2,-1.8,-2.53,1245607.52,8683330.184,1.283333333,0.853705618,1,1
601318.SH,20171207,69.35,69.81,67.6,68.64,69.4,-0.76,-1.1,859703.58,5882969.802,0.856666667,1.381207086,1,1
601318.SH,20171208,68.94,71.86,68.66,71.49,68.64,2.85,4.15,1095632.28,7706090.993,0.21,-0.502551096,0,-1
601318.SH,20171211,71.2,73.31,70.82,73.25,71.49,1.76,2.46,1139927.34,8230209.835,-0.746666667,-0.240007197,-1,-1
601318.SH,20171212,73.25,73.56,71.17,71.21,73.25,-2.04,-2.79,777900.78,5624415.243,-0.276666667,-0.115825766,-1,0
601318.SH,20171213,71.21,72.62,70.2,72.12,71.21,0.91,1.28,865117.81,6180930.487,-0.483333333,-0.495238204,-1,-1
601318.SH,20171214,72.12,72.16,70.6,71.01,72.12,-1.11,-1.54,676186.94,4821543.307,0.856666667,-0.317903257,1,-1
601318.SH,20171215,70.69,71.44,70.05,70.38,71.01,-0.63,-0.89,735547.22,5203043.803,1.186666667,0.92915197,1,0
601318.SH,20171218,70.21,71.93,70.21,70.67,70.38,0.29,0.41,679116.99,4819171.12,1.413333333,0.966181824,1,0
601318.SH,20171219,70.91,73.63,70.71,73.58,70.67,2.91,4.12,1270583.05,9235563.922,0.146666667,0.007952024,0,0
601318.SH,20171220,73.49,74.59,73.08,73.94,73.58,0.36,0.49,939382.88,6929166.001,0.073333333,0.155037403,0,0
601318.SH,20171221,73.64,75.58,73.21,74.91,73.94,0.97,1.31,934707.66,6973083.823,-0.323333333,-0.410654585,-1,-1
601318.SH,20171222,74.8,75.2,73.63,74.02,74.91,-0.89,-1.19,719526.58,5340481.047,-1.223333333,-0.261103328,-1,-1
601318.SH,20171225,74.06,76.17,73.37,74.16,74.02,0.14,0.19,1109978.96,8271645.257,-1.19,-0.975672928,-1,-1
601318.SH,20171226,74.11,74.56,72.88,73.94,74.16,-0.22,-0.3,832289.5,6125332.824,-1.32,-0.658700495,-1,-1
601318.SH,20171227,73.45,73.45,70.02,70.35,73.94,-3.59,-4.86,1506834.45,10782720.39,0.746666667,-0.299916844,1,-1
601318.SH,20171228,70.3,71.42,69.67,70.59,70.35,0.24,0.34,1130886.42,7984386.864,0.126666667,0.874809541,0,1
601318.SH,20171229,71.09,71.53,69.5,69.98,70.59,-0.61,-0.86,1040018.01,7316476.634,0.4,0.171964647,1,0
601318.SH,20180102,70.21,72.8,70.18,72.59,69.98,2.61,3.73,1236163.17,8873521.553,-0.566666667,-1.024530736,-1,-1
601318.SH,20180103,73.4,73.9,70.11,70.97,72.59,-1.62,-2.23,1794054.92,12887286.35,-0.32,0.226061617,-1,0
601318.SH,20180104,71.02,72.2,70.55,71.18,70.97,0.21,0.3,1061157.84,7558632.047,0.23,-0.122202021,0,-1
601318.SH,20180105,71.59,71.88,70.45,70.89,71.18,-0.29,-0.41,772075.81,5478422.385,0.276666667,-0.071484383,1,1
601318.SH,20180108,70.79,70.79,69.32,70.01,70.89,-0.88,-1.24,1228729.53,8582728.348,0.88,0.240985067,1,1
601318.SH,20180109,70.3,72.08,70.03,71.87,70.01,1.86,2.66,1239491.15,8846740.744,0.846666667,0.423000662,1,1
601318.SH,20180110,71.6,71.87,70.71,71.72,71.87,-0.15,-0.21,828123.01,5908131.847,1.976666667,0.684660718,1,1
601318.SH,20180111,71.05,73.12,71,72.65,71.72,0.93,1.3,1096288.95,7942591.596,1.72,1.256722923,1,1
601318.SH,20180112,72.66,74.5,72.33,74.41,72.65,1.76,2.42,1282662.94,9412700.286,0.976666667,0.933532419,1,1
601318.SH,20180115,75.35,78.5,75.35,77.65,74.41,3.24,4.35,2006598.66,15506926.31,-0.013333333,-0.14108085,0,0
601318.SH,20180116,77.68,79.48,77.2,77.81,77.65,0.16,0.21,1501643.17,11730259.42,-0.073333333,-0.268861161,0,-1
601318.SH,20180117,78.1,79.35,76.5,77.34,77.81,-0.47,-0.6,1413574.16,11007901.75,0.466666667,-0.195999325,1,0
601318.SH,20180118,78.56,80.11,77.08,77.61,77.34,0.27,0.35,2074471.38,16276293.93,0.383333333,0.224847964,1,1
601318.SH,20180119,78.3,79.06,76.89,77.59,77.61,-0.02,-0.03,1553809.12,12121952.91,-0.383333333,0.229876734,-1,0
601318.SH,20180122,77.11,79.2,77.05,78.74,77.59,1.15,1.48,1215882.86,9519920.005,-1.15,-0.6875792,-1,-1
601318.SH,20180123,80.3,81.28,78.29,78.76,78.74,0.02,0.03,1919898.4,15307309.84,-0.886666667,-0.774505968,-1,-1
601318.SH,20180124,79,79.44,76.38,76.44,78.76,-2.32,-2.95,1689141.04,13089919.95,-1.026666667,0.05464727,-1,-1
601318.SH,20180125,75.93,75.99,74.8,75.29,76.44,-1.15,-1.5,1234396.52,9292249.846,-0.636666667,-0.624476458,-1,-1
601318.SH,20180126,75.3,76.85,75.21,76.1,75.29,0.81,1.08,1125546.5,8558720.967,-0.34,-0.678172513,-1,-1
601318.SH,20180129,76.66,76.7,72.89,73.36,76.1,-2.74,-3.6,1517843.51,11341796.89,0.706666667,0.374805201,1,1
601318.SH,20180130,72.9,74.36,72.8,73.38,73.36,0.02,0.03,867816.93,6389286.977,0.876666667,0.580572548,1,1
601318.SH,20180131,72.65,75.15,72.52,75.08,73.38,1.7,2.32,934726.29,6959739.461,0.21,0.043852967,0,0
601318.SH,20180201,75,75.6,74.05,75.48,75.08,0.4,0.53,1415762.91,10624480.48,-0.57,-0.182394919,-1,0
601318.SH,20180202,74.87,76.38,74.13,76.01,75.48,0.53,0.7,1007583.37,7592895.872,-1.543333333,-0.506279524,-1,-1
601318.SH,20180205,74.4,75.95,74.3,75.71,76.01,-0.3,-0.39,948054.42,7124096.934,-2.24,-1.058793345,-1,-1
601318.SH,20180206,73.85,74.7,72.5,73.77,75.71,-1.94,-2.56,2049666.83,15035748.67,-3.113333333,-1.150865963,-1,-1
601318.SH,20180207,74.6,74.65,70.5,71.38,73.77,-2.39,-3.24,1747840.83,12632931.02,-2.14,-1.347727474,-1,-1
601318.SH,20180208,70.61,71.5,68.37,68.99,71.38,-2.39,-3.35,1530108.9,10664335.04,-0.656666667,-0.749690176,-1,-1
601318.SH,20180209,66.5,66.97,62.2,64.43,68.99,-4.56,-6.61,2492029.78,16087878.59,1.486666667,0.484032013,1,1
601318.SH,20180212,64.66,65.65,64,64.96,64.43,0.53,0.82,1029611.77,6677189.824,1.603333333,1.237560455,1,1
601318.SH,20180213,66.2,68.35,66.06,67.02,64.96,2.06,3.17,1147957.2,7736172.612,1.206666667,0.66809309,1,1
601318.SH,20180214,67.5,69.19,67.2,68.89,67.02,1.87,2.79,646501.88,4399687.785,0.636666667,0.251466119,1,1
601318.SH,20180222,70.23,70.42,69.23,69.77,68.89,0.88,1.28,783649.99,5477772.497,0.013333333,0.43441874,0,1
601318.SH,20180223,70.25,71.46,69.83,70.64,69.77,0.87,1.25,556011.07,3929000.289,-0.96,-0.440986557,-1,-1
