open,high,low,pre_close,change,pct_chg,vol,amount,close,ave_change,pred_change,real_trend,pred_trend,random_trend
79.5,79.96,76.58,78.44,-0.99,-1.26,1293487.99,10124738.589,77.45,-1.3,0.14075966943842652,-1,0,-1
76.6,78.44,73.7,77.45,-3.13,-4.04,1576210.88,11946905.532,74.32,-0.5299999999999999,0.23045590177474018,0,0,1
74.15,75.46,72.71,74.32,0.3,0.4,1317843.76,9752487.037999999,74.62,-0.7333333333333334,0.4525759224295046,0,1,1
74.7,74.9,71.55,74.62,-1.07,-1.43,1637232.33,11979068.075,73.55,-1.21,-0.12158636236021242,-1,0,0
72.7,73.54,71.88,73.55,-0.82,-1.11,786469.62,5710613.283,72.73,-1.5433333333333332,0.12690001563264092,-1,0,1
73.54,74.19,71.26,72.73,-0.31,-0.43,875004.64,6358820.396000001,72.42,-1.01,-0.011261957344958405,-1,0,1
71.37,71.67,69.55,72.42,-2.5,-3.45,1163733.17,8210562.529,69.92,0.4266666666666667,0.12097152941723191,0,0,1
69.65,70.18,67.91,69.92,-1.82,-2.6,1393046.03,9600520.277999999,68.1,0.43333333333333335,-0.13170048053360092,0,0,-1
67.6,70.35,67.37,68.1,1.29,1.89,1159283.17,8019893.921,69.39,-0.25,0.37033070577665644,0,1,-1
68.9,71.5,68.78,69.39,1.81,2.61,1692539.53,11943537.965,71.2,0.09666666666666668,0.30907637955180506,0,1,0
70.9,71.1,68.0,71.2,-1.8,-2.53,1245607.52,8683330.184,69.4,1.2833333333333332,-0.13820700755112153,1,0,0
69.35,69.81,67.6,69.4,-0.76,-1.1,859703.58,5882969.802,68.64,0.8566666666666668,0.23552505942518753,1,0,-1
68.94,71.86,68.66,68.64,2.85,4.15,1095632.28,7706090.993,71.49,0.21,0.1740718350260054,0,0,1
71.2,73.31,70.82,71.49,1.76,2.46,1139927.34,8230209.835,73.25,-0.7466666666666667,0.0016763380535442865,0,0,-1
73.25,73.56,71.17,73.25,-2.04,-2.79,777900.78,5624415.243,71.21,-0.27666666666666667,0.17854546339884872,0,0,0
71.21,72.62,70.2,71.21,0.91,1.28,865117.81,6180930.487000001,72.12,-0.4833333333333334,-0.0621104427898146,0,0,0
72.12,72.16,70.6,72.12,-1.11,-1.54,676186.94,4821543.307,71.01,0.8566666666666668,0.21181398104840832,1,0,1
70.69,71.44,70.05,71.01,-0.63,-0.89,735547.22,5203043.803,70.38,1.1866666666666668,0.23787963195275263,1,0,0
70.21,71.93,70.21,70.38,0.29,0.41,679116.99,4819171.12,70.67,1.4133333333333333,-0.032226669209350994,1,0,-1
70.91,73.63,70.71,70.67,2.91,4.12,1270583.05,9235563.922,73.58,0.1466666666666667,0.1618786833275455,0,0,0
73.49,74.59,73.08,73.58,0.36,0.49,939382.88,6929166.001,73.94,0.07333333333333332,-0.08473072909997512,0,0,-1
73.64,75.58,73.21,73.94,0.97,1.31,934707.66,6973083.823,74.91,-0.3233333333333333,-0.0059976821399581465,0,0,1
74.8,75.2,73.63,74.91,-0.89,-1.19,719526.58,5340481.047,74.02,-1.2233333333333334,0.14050693154401622,-1,0,0
74.06,76.17,73.37,74.02,0.14,0.19,1109978.96,8271645.257,74.16,-1.1900000000000002,0.1142461879567023,-1,0,0
74.11,74.56,72.88,74.16,-0.22,-0.3,832289.5,6125332.824,73.94,-1.3199999999999998,0.047798812927307976,-1,0,0
73.45,73.45,70.02,73.94,-3.59,-4.86,1506834.45,10782720.389,70.35,0.7466666666666666,0.058220748122509755,1,0,0
70.3,71.42,69.67,70.35,0.24,0.34,1130886.42,7984386.864,70.59,0.12666666666666662,-0.007437280939217198,0,0,1
71.09,71.53,69.5,70.59,-0.61,-0.86,1040018.01,7316476.634,69.98,0.3999999999999999,-0.16579866200783225,0,0,0
70.21,72.8,70.18,69.98,2.61,3.73,1236163.17,8873521.553,72.59,-0.5666666666666668,0.18408311119668844,0,0,0
73.4,73.9,70.11,72.59,-1.62,-2.23,1794054.92,12887286.352,70.97,-0.32,-0.1294880706145219,0,0,0
71.02,72.2,70.55,70.97,0.21,0.3,1061157.84,7558632.047,71.18,0.23000000000000007,-0.11519449545637162,0,0,1
71.59,71.88,70.45,71.18,-0.29,-0.41,772075.81,5478422.385,70.89,0.27666666666666667,0.08648112208821418,0,0,1
70.79,70.79,69.32,70.89,-0.88,-1.24,1228729.53,8582728.348,70.01,0.88,-0.4328879610572229,1,-1,-1
70.3,72.08,70.03,70.01,1.86,2.66,1239491.15,8846740.743999999,71.87,0.8466666666666667,0.129038929945494,1,0,1
71.6,71.87,70.71,71.87,-0.15,-0.21,828123.01,5908131.847,71.72,1.9766666666666666,-0.030325549683243663,1,0,0
71.05,73.12,71.0,71.72,0.93,1.3,1096288.95,7942591.596,72.65,1.72,0.08778555322232082,1,0,0
72.66,74.5,72.33,72.65,1.76,2.42,1282662.94,9412700.286,74.41,0.9766666666666669,0.01669345280701128,1,0,0
75.35,78.5,75.35,74.41,3.24,4.35,2006598.66,15506926.306,77.65,-0.013333333333333308,-0.05468393116669031,0,0,0
77.68,79.48,77.2,77.65,0.16,0.21,1501643.17,11730259.422,77.81,-0.07333333333333332,0.787663518485788,0,1,1
78.1,79.35,76.5,77.81,-0.47,-0.6,1413574.16,11007901.752999999,77.34,0.4666666666666666,0.5396839296837941,0,1,0
78.56,80.11,77.08,77.34,0.27,0.35,2074471.38,16276293.928,77.61,0.3833333333333333,0.23361576061155664,0,0,-1
78.3,79.06,76.89,77.61,-0.02,-0.03,1553809.12,12121952.907,77.59,-0.3833333333333333,0.7641774006211975,0,1,-1
77.11,79.2,77.05,77.59,1.15,1.48,1215882.86,9519920.005,78.74,-1.15,0.3452185597985078,-1,1,-1
80.3,81.28,78.29,78.74,0.02,0.03,1919898.4,15307309.842,78.76,-0.8866666666666666,0.34613966866279633,-1,1,1
79.0,79.44,76.38,78.76,-2.32,-2.95,1689141.04,13089919.947,76.44,-1.0266666666666666,0.41756079424561426,-1,1,0
75.93,75.99,74.8,76.44,-1.15,-1.5,1234396.52,9292249.846,75.29,-0.6366666666666667,-0.3642902117593727,0,-1,0
75.3,76.85,75.21,75.29,0.81,1.08,1125546.5,8558720.967,76.1,-0.3400000000000001,0.3034849244457458,0,1,0
76.66,76.7,72.89,76.1,-2.74,-3.6,1517843.51,11341796.885,73.36,0.7066666666666667,0.2013341166294462,1,0,1
72.9,74.36,72.8,73.36,0.02,0.03,867816.93,6389286.977000001,73.38,0.8766666666666666,-0.0757922114196325,1,0,1
72.65,75.15,72.52,73.38,1.7,2.32,934726.29,6959739.461,75.08,0.21000000000000005,-0.07648855638003715,0,0,0
75.0,75.6,74.05,75.08,0.4,0.53,1415762.91,10624480.475,75.48,-0.57,0.6628705704300075,0,1,1
74.87,76.38,74.13,75.48,0.53,0.7,1007583.37,7592895.872,76.01,-1.5433333333333332,0.1389296987000475,-1,0,1
74.4,75.95,74.3,76.01,-0.3,-0.39,948054.42,7124096.933999999,75.71,-2.24,0.0951336616228802,-1,0,-1
73.85,74.7,72.5,75.71,-1.94,-2.56,2049666.83,15035748.670999998,73.77,-3.1133333333333333,-0.15465038779658885,-1,0,0
74.6,74.65,70.5,73.77,-2.39,-3.24,1747840.83,12632931.015999999,71.38,-2.1399999999999997,0.2588935232143686,-1,1,1
70.61,71.5,68.37,71.38,-2.39,-3.35,1530108.9,10664335.041000001,68.99,-0.6566666666666664,-0.01256623481610817,0,0,-1
66.5,66.97,62.2,68.99,-4.56,-6.61,2492029.78,16087878.594,64.43,1.4866666666666666,0.36644994060735636,1,1,0
64.66,65.65,64.0,64.43,0.53,0.82,1029611.77,6677189.824,64.96,1.6033333333333335,0.6609658557438488,1,1,0
66.2,68.35,66.06,64.96,2.06,3.17,1147957.2,7736172.612000001,67.02,1.2066666666666668,0.2801004961708126,1,1,1
67.5,69.19,67.2,67.02,1.87,2.79,646501.88,4399687.785,68.89,0.6366666666666666,0.05082872971909592,0,0,0
70.23,70.42,69.23,68.89,0.88,1.28,783649.99,5477772.497,69.77,0.013333333333333345,0.030956046622782625,0,0,1
70.25,71.46,69.83,69.77,0.87,1.25,556011.07,3929000.289,70.64,-0.96,0.018443976304281726,-1,0,1
70.99,71.58,69.6,70.64,0.16,0.23,693840.92,4900094.21,70.8,-0.6233333333333334,-0.007826613067423369,0,0,-1
71.02,71.19,69.47,70.8,-0.99,-1.4,780994.82,5485814.9120000005,69.81,-0.71,0.22283087869675544,0,0,0
69.2,69.24,67.7,69.81,-2.05,-2.94,782170.46,5354288.636,67.76,0.03999999999999998,0.3364561220677994,0,1,0
67.18,69.38,66.88,67.76,1.17,1.73,663296.17,4535163.8319999995,68.93,0.12999999999999998,0.11544108786580412,0,0,0
68.0,68.66,67.45,68.93,-1.25,-1.81,581439.32,3950841.316,67.68,0.36666666666666664,0.308499114074327,0,1,-1
67.66,68.59,67.0,67.68,0.2,0.3,609823.8,4123448.692,67.88,0.8866666666666667,0.19528696956317385,1,0,-1
68.4,69.39,67.4,67.88,1.44,2.12,657077.23,4498428.233,69.32,0.5233333333333333,0.06718696954059293,0,0,0
68.98,70.18,68.18,69.32,-0.54,-0.78,590555.01,4086838.91,68.78,0.7799999999999999,0.35263562695293815,1,1,1
